filename	ann_id	label	start_span	end_span	text
es-S0210-56912007000900007-3	T1	PROCEDIMIENTO	609	643	tomografía computarizada abdominal
es-S0210-56912007000900007-3	T2	PROCEDIMIENTO	799	824	intubada orotraquealmente
es-S0210-56912007000900007-3	T3	PROCEDIMIENTO	827	861	conectada a un respirador mecánico
es-S0210-56912007000900007-3	T4	PROCEDIMIENTO	879	908	tratamiento a base de fluidos
es-S0210-56912007000900007-3	T5	PROCEDIMIENTO	1362	1374	colonoscopia
es-S0210-56912007000900007-3	T6	PROCEDIMIENTO	1495	1506	endoscópica
es-S0210-56912007000900007-3	T7	PROCEDIMIENTO	1653	1676	extirpación del adenoma
es-S0210-56912007000900007-3	T8	PROCEDIMIENTO	1589	1601	fue extubada
es-S0210-56912007000900007-3	T9	PROCEDIMIENTO	340	351	exploración
es-S0210-48062010000100019-3	T1	PROCEDIMIENTO	270	285	sondaje uretral
es-S0210-48062010000100019-3	T2	PROCEDIMIENTO	435	465	tomografía axial computarizada
es-S0210-48062010000100019-3	T3	PROCEDIMIENTO	817	827	cistotomía
es-S0210-48062010000100019-3	T4	PROCEDIMIENTO	994	1025	ligadura de ambas hipogástricas
es-S0210-48062010000100019-3	T5	PROCEDIMIENTO	1202	1220	biopsias vesicales
es-S0210-48062010000100019-3	T6	PROCEDIMIENTO	1151	1180	diagnóstico anatomopatológico
es-S0210-48062010000100019-3	T7	PROCEDIMIENTO	507	530	intervención quirúrgica
es-S0210-48062010000100019-3	T8	PROCEDIMIENTO	839	863	se drena el gran coágulo
es-S0210-48062010000100019-3	T9	PROCEDIMIENTO	947	955	biopsias
es-S1139-76322014000100010-1	T1	PROCEDIMIENTO	1163	1182	ecografía abdominal
es-S1139-76322014000100010-1	T2	PROCEDIMIENTO	261	282	exploración abdominal
es-S1139-76322014000100010-1	T3	PROCEDIMIENTO	1557	1569	coprocultivo
es-S1139-76322014000100010-1	T4	PROCEDIMIENTO	1582	1605	antibioterapia empírica
es-S1139-76322014000100010-1	T5	PROCEDIMIENTO	630	649	ecografía abdominal
es-S1139-76322014000100010-1	T6	PROCEDIMIENTO	1638	1650	coprocultivo
es-S1139-76322014000100010-1	T7	PROCEDIMIENTO	908	922	apendicectomía
es-S1139-76322014000100010-1	T8	PROCEDIMIENTO	1944	1988	estudio anatomopatológico del apéndice cecal
es-S1139-76322014000100010-1	T9	PROCEDIMIENTO	795	818	intervención quirúrgica
es-S1139-76322014000100010-1	T10	PROCEDIMIENTO	1916	1939	intervención quirúrgica
es-S1139-76322014000100010-1	T11	PROCEDIMIENTO	1728	1751	tratamiento antibiótico
es-S1139-76322014000100010-1	T12	PROCEDIMIENTO	1293	1302	analítica
es-S1130-05582008000200006-1	T1	PROCEDIMIENTO	2084	2109	estudio anatomopatológico
es-S1130-05582008000200006-1	T2	PROCEDIMIENTO	1595	1612	anestesia general
